AgentID,turn_dur
Larva_1,0.0625
Larva_1,0.0625
Larva_1,0.1875
Larva_1,0.1875
Larva_1,0.1875
Larva_1,0.125
Larva_1,0.25
Larva_1,0.1875
Larva_1,0.25
Larva_1,0.3125
Larva_1,0.125
Larva_1,0.25
Larva_1,0.3125
Larva_1,0.0625
Larva_1,0.1875
Larva_1,0.125
Larva_1,0.0625
Larva_1,0.3125
Larva_1,0.3125
Larva_1,0.125
Larva_1,0.25
Larva_1,0.1875
Larva_1,0.125
Larva_1,0.0625
Larva_1,0.0625
Larva_1,0.125
Larva_1,0.1875
Larva_1,0.25
Larva_1,0.0625
Larva_1,0.625
Larva_1,0.4375
Larva_1,0.4375
Larva_1,0.0625
Larva_1,0.0625
Larva_1,0.1875
Larva_1,0.125
Larva_1,0.25
Larva_1,0.125
Larva_1,0.25
Larva_1,0.1875
Larva_1,0.0625
Larva_1,0.0625
Larva_1,0.0625
Larva_1,0.1875
Larva_1,0.1875
Larva_1,0.0625
Larva_1,0.125
Larva_1,0.1875
Larva_1,0.25
Larva_1,0.125
Larva_1,0.125
Larva_1,0.125
Larva_1,0.1875
Larva_1,0.3125
Larva_1,0.1875
Larva_1,0.4375
Larva_1,0.1875
Larva_1,0.125
Larva_1,0.0625
Larva_1,0.1875
Larva_1,0.25
Larva_1,0.0625
Larva_1,0.375
Larva_1,0.3125
Larva_1,0.5625
Larva_1,0.5
Larva_1,0.25
Larva_1,0.25
Larva_1,0.25
Larva_1,0.125
Larva_1,0.125
Larva_1,0.125
Larva_1,0.25
Larva_1,0.0625
Larva_1,0.375
Larva_1,0.125
Larva_1,0.125
Larva_1,0.0625
Larva_1,0.125
Larva_1,0.125
Larva_1,0.0625
Larva_1,0.0625
Larva_1,0.125
Larva_1,0.1875
Larva_1,0.0625
Larva_1,0.3125
Larva_1,0.0625
Larva_1,0.125
Larva_1,0.1875
Larva_1,0.0625
Larva_1,0.0625
Larva_1,0.4375
Larva_1,0.0625
Larva_1,0.1875
Larva_1,0.8125
Larva_1,0.125
Larva_1,0.1875
Larva_1,0.1875
Larva_1,0.125
Larva_1,0.4375
Larva_1,0.5
Larva_1,0.25
Larva_1,0.0625
Larva_1,0.25
Larva_1,0.125
Larva_1,0.375
Larva_1,0.1875
Larva_1,0.375
Larva_1,0.0625
Larva_1,0.1875
Larva_1,0.0625
Larva_1,0.6875
Larva_1,0.1875
Larva_1,0.125
Larva_1,0.3125
Larva_1,0.0625
Larva_1,0.0625
Larva_1,0.125
Larva_1,0.25
Larva_1,0.1875
Larva_1,0.0625
Larva_1,0.0625
Larva_1,0.0625
Larva_1,0.125
Larva_1,0.0625
Larva_1,0.5625
Larva_1,0.0625
Larva_1,0.0625
Larva_1,0.25
Larva_1,0.125
Larva_1,0.0625
Larva_1,0.0625
Larva_1,0.125
Larva_1,0.4375
Larva_1,0.375
Larva_1,0.125
Larva_1,0.5
Larva_1,0.25
Larva_1,0.375
Larva_1,0.1875
Larva_1,0.375
Larva_1,0.1875
Larva_1,0.0625
Larva_1,0.0625
Larva_1,0.125
Larva_1,0.125
Larva_1,0.125
Larva_1,0.125
Larva_1,0.25
Larva_1,0.625
Larva_1,0.3125
Larva_1,0.3125
Larva_1,0.125
Larva_1,0.4375
Larva_1,0.625
Larva_1,0.0625
Larva_1,0.125
Larva_1,0.0625
Larva_1,0.0625
Larva_1,0.125
Larva_1,0.125
Larva_1,0.4375
Larva_1,0.125
Larva_1,0.4375
Larva_1,0.125
Larva_1,0.0625
Larva_1,0.125
Larva_1,0.1875
Larva_1,0.1875
Larva_1,0.125
Larva_1,0.125
Larva_1,0.125
Larva_1,0.25
Larva_1,0.0625
Larva_1,0.25
Larva_1,0.0625
Larva_1,0.0625
Larva_1,0.25
Larva_1,0.375
Larva_1,0.4375
Larva_1,0.5625
Larva_1,0.125
Larva_1,0.5625
Larva_1,0.0625
Larva_1,0.125
Larva_1,0.125
Larva_1,0.875
Larva_1,0.1875
Larva_1,0.3125
Larva_1,0.3125
Larva_1,0.0625
Larva_1,0.1875
Larva_1,0.0625
Larva_1,0.125
Larva_1,0.1875
Larva_1,0.125
Larva_1,0.1875
Larva_1,0.0625
Larva_1,0.25
