shortcut,par,symbol,exp_symbol,unit,lim,collect
cum_t,cum_dur,${t}_{cum}$,${\hat{t}}_{cum}$,time $(sec)$,,
l_mu,length,$\bar{l}$,$\bar{\hat{l}}$,body length $(mm)$,,length_in_mm
str_rr,stride_reoccurence_rate,${str}_{rr}$,${\hat{str}}_{rr}$,-,,
l,length,l,$\hat{l}$,body length $(mm)$,,length_in_mm
f_am,amount_eaten,${m}_{feed}$,${\hat{m}}_{feed}$,mass $(mg)$,"[0.0, 1e-05]",amount_eaten
f_am_max,max_feed_amount,${m}_{feed}^{m}$,${\hat{m}}_{feed}^{m}$,mass $(mg)$,,
m,mass,m,$\hat{m}$,mass $(mg)$,,mass_in_mg
hunger,hunger,hunger,$\hat{hunger}$,hunger (-),"[0.0, 1.0]",hunger
reserve_density,reserve_density,reserve_density,$\hat{reserve_density}$,reserve density (-),"[0.0, 2.0]",reserve_density
puppation_buffer,puppation_buffer,puppation_buffer,$\hat{puppation_buffer}$,puppation buffer (-),"[0.0, 1.0]",puppation_buffer
deb_f,deb_f,${f}_{deb}$,${\hat{f}}_{deb}$,functional response (-),"[0.0, 2.0]",deb_f
deb_f_mu,deb_f_mean,${\bar{f}}_{deb}$,${\hat{\bar{f}}}_{deb}$,functional response (-),,
lar_N,Nlarvae,${N}_{larvae}$,${\hat{N}}_{larvae}$,# larvae,,
b,bend,$\theta_{b}$,$\hat{\theta}_{b}$,bend angle $(deg)$,"[-180, 180]",bend
bv,bend_vel,$\dot{\theta}_{b}$,$\dot{\hat{\theta}}_{b}$,bending velocity $(deg/sec)$,,
ba,bend_acc,$\ddot{\theta}_{b}$,$\ddot{\hat{\theta}}_{b}$,bending acceleration $(deg^2/sec)$,,
fo,front_orientation,$\theta_{or_{f}}$,$\hat{\theta}_{or_{f}}$,orientation angle $(deg)$,"[0, 360]",front_orientation
fov,front_orientation_vel,$\dot{\theta}_{or_{f}}$,$\dot{\hat{\theta}}_{or_{f}}$,orientation velocity $(deg/sec)$,"[-300, 300]",front_orientation_vel
foa,front_orientation_acc,$\ddot{\theta}_{or_{f}}$,$\ddot{\hat{\theta}}_{or_{f}}$,orientation acceleration $(deg^2/sec)$,,
ro,rear_orientation,$\theta_{or_{r}}$,$\hat{\theta}_{or_{r}}$,rear orientation angle $(deg)$,"[0, 360]",rear_orientation
rov,rear_orientation_vel,$\dot{\theta}_{or_{r}}$,$\dot{\hat{\theta}}_{or_{r}}$,rear orientation velocity $(deg/sec)$,"[-300, 300]",
roa,rear_orientation_acc,$\ddot{\theta}_{or_{r}}$,$\ddot{\hat{\theta}}_{or_{r}}$,rear orientation acceleration $(deg^2/sec)$,,
d,dst,d,$\hat{d}$,distance $(mm)$,,
ld,lin_dst,${d}_{l}$,${\hat{d}}_{l}$,distance $(mm)$,,
v,vel,v,$\hat{v}$,velocity $(mm/sec)$,,
a,acc,$\dot{v}$,$\dot{\hat{v}}$,acceleration $(mm/sec^2)$,,
lv,lin_vel,${v}_{l}$,${\hat{v}}_{l}$,velocity $(mm/sec)$,,
la,lin_acc,${\dot{v}}_{l}$,${\dot{\hat{v}}}_{l}$,acceleration $(mm/sec^2)$,,
cum_d,cum_dst,${d}_{cum}$,${\hat{d}}_{cum}$,pathlength $(mm)$,,cum_dst_in_mm
fv,vel_freq,${f}_{v}$,${\hat{f}}_{v}$,frequency $(Hz)$,,crawler_freq
sd,scaled_dst,${d}^{*}$,${\hat{d}}^{*}$,scaled distance $(-)$,,
sld,scaled_lin_dst,${d}_{l}^{*}$,${\hat{d}}_{l}^{*}$,scaled distance $(-)$,,
sv,scaled_vel,${v}^{*}$,${\hat{v}}^{*}$,scaled velocity $(sec^{-1})$,,
sa,scaled_acc,${\dot{v}}^{*}$,${\dot{\hat{v}}}^{*}$,scaled acceleration $(sec^{-2})$,,
slv,scaled_lin_vel,${v}_{l}^{*}$,${\hat{v}}_{l}^{*}$,scaled velocity $(sec^{-1})$,,
sla,scaled_lin_acc,${\dot{v}}_{l}^{*}$,${\dot{\hat{v}}}_{l}^{*}$,scaled acceleration $(sec^{-2})$,,
cum_sd,cum_scaled_dst,${d}_{cum}^{*}$,${\hat{d}}_{cum}^{*}$,scaled pathlength,,cum_scaled_dst
fsv,scaled_vel_freq,${f}_{v}^{*}$,${\hat{f}}_{v}^{*}$,frequency $(Hz)$,,
str_d,stride_dst,${d}_{str}$,${\hat{d}}_{str}$,distance $(mm)$,,
str_sd,scaled_stride_dst,${d}_{str}^{*}$,${\hat{d}}_{str}^{*}$,scaled distance $(-)$,,
str_std,stride_straight_dst,${d}_{str}^{st}$,${\hat{d}}_{str}^{st}$,distance $(mm)$,,
str_sstd,scaled_stride_straight_dst,${d}_{str}^{st*}$,${\hat{d}}_{str}^{st*}$,scaled distance $(-)$,,
str_t,stride_dur,${t}_{stride}$,${\hat{t}}_{stride}$,time $(sec)$,,
str_t_mu,stride_dur_mean,${\bar{t}}_{stride}$,${\bar{\hat{t}}}_{stride}$,time $(sec)$,,
str_t_std,stride_dur_std,${\~{t}}_{stride}$,${\~{\hat{t}}}_{stride}$,time $(sec)$,,
cum_str_t,cum_stride_dur,${t}_{stride}^{cum}$,${\hat{t}}_{stride}^{cum}$,time $(sec)$,,
str_t_max,stride_dur_max,${t}_{stride}^{m}$,${\hat{t}}_{stride}^{m}$,time $(sec)$,,
str0,stride_start,${t}_{stride}^{0}$,${\hat{t}}_{stride}^{0}$,time $(sec)$,,
str1,stride_stop,${t}_{stride}^{1}$,${\hat{t}}_{stride}^{1}$,time $(sec)$,,
str_l,stride_length,${stride}_{l}$,${\hat{stride}}_{l}$,counts $(#)$,,
str_id,stride_id,${stride}_{id}$,${\hat{stride}}_{id}$,counts $(#)$,,
str_tr,stride_dur_ratio,${r}_{stride}$,${\hat{r}}_{stride}$,% time crawling,,stride_dur_ratio
str_N,num_strides,${N}_{strides}$,${\hat{N}}_{strides}$,# strides,,num_strides
non_str_d,non_stride_dst,${d}_{non_str}$,${\hat{d}}_{non_str}$,distance $(mm)$,,
non_str_sd,scaled_non_stride_dst,${d}_{non_str}^{*}$,${\hat{d}}_{non_str}^{*}$,scaled distance $(-)$,,
non_str_std,non_stride_straight_dst,${d}_{non_str}^{st}$,${\hat{d}}_{non_str}^{st}$,distance $(mm)$,,
non_str_sstd,scaled_non_stride_straight_dst,${d}_{non_str}^{st*}$,${\hat{d}}_{non_str}^{st*}$,scaled distance $(-)$,,
non_str_t,non_stride_dur,${t}_{non_stride}$,${\hat{t}}_{non_stride}$,time $(sec)$,,
non_str_t_mu,non_stride_dur_mean,${\bar{t}}_{non_stride}$,${\bar{\hat{t}}}_{non_stride}$,time $(sec)$,,
non_str_t_std,non_stride_dur_std,${\~{t}}_{non_stride}$,${\~{\hat{t}}}_{non_stride}$,time $(sec)$,,
cum_non_str_t,cum_non_stride_dur,${t}_{non_stride}^{cum}$,${\hat{t}}_{non_stride}^{cum}$,time $(sec)$,,
non_str_t_max,non_stride_dur_max,${t}_{non_stride}^{m}$,${\hat{t}}_{non_stride}^{m}$,time $(sec)$,,
non_str0,non_stride_start,${t}_{non_stride}^{0}$,${\hat{t}}_{non_stride}^{0}$,time $(sec)$,,
non_str1,non_stride_stop,${t}_{non_stride}^{1}$,${\hat{t}}_{non_stride}^{1}$,time $(sec)$,,
