Step,median,upper,lower
1,0.0,0.0,0.0
2,0.06117048722018391,0.08627250138843912,0.036898692973656194
3,0.11850325137951395,0.1765296039748587,0.07642808246132524
4,0.16891300095421624,0.259671054057145,0.1148648797544894
5,0.22124122149200298,0.33744996087340445,0.16277921859216676
6,0.29046275791406584,0.40860860833562773,0.19529270023542394
7,0.355202192847345,0.4678402516527286,0.24464817534112354
8,0.4382819452284803,0.5324827686286792,0.30726905959157447
9,0.49192998080446004,0.629483229299594,0.3565753605829372
10,0.5484502296932222,0.6799718078496162,0.40701032987489
11,0.5967717634277838,0.748417934087794,0.47178500984099686
12,0.6697865030099562,0.8193807527605979,0.5216563332252842
13,0.7181508099870495,0.8913856802799842,0.5762595358729083
14,0.775045697505604,0.9817641496862264,0.6205649375042184
15,0.8508237864623156,1.0577420432448739,0.650387470405152
16,0.9267953712039381,1.146613838408795,0.6994811704587512
17,0.979167416129748,1.2239316184345563,0.7510531209990031
18,1.0199181268343191,1.2911808292779945,0.7977448881556966
19,1.0854680988951846,1.3780570429273329,0.8361014588117764
20,1.169456065667283,1.4381618343448712,0.878262748126344
21,1.261619679497063,1.5079189558250459,0.9278556714907572
22,1.3313658022588737,1.5744031662120141,0.9471997566509986
23,1.3807386849055758,1.6095293372700796,0.9891753412505986
24,1.4331201641705913,1.6766445827632288,1.0177058068787648
25,1.4418406540275472,1.743982308967889,1.0589168152565813
26,1.488503847111393,1.840304569222123,1.1189083001252444
27,1.5501890110208645,1.9549711651096766,1.1557594998337317
28,1.601524611254299,2.0112297047041037,1.1799932494795573
29,1.6369261330121405,2.1101076335609283,1.2198798584483586
30,1.6985569003377117,2.2113612008510772,1.2760642811921463
31,1.7643615275342936,2.3271276976663446,1.3088986382108991
32,1.809853619804799,2.41059829785371,1.3418803212577757
33,1.8630737195726152,2.465680169814309,1.3891645102759158
34,1.9386027227798324,2.523693760302313,1.417977519238078
35,2.0150285425967405,2.5762172306441498,1.4899518607684956
36,2.0939350211270646,2.612263075127073,1.5334889168511976
37,2.195856659135526,2.6757832048806134,1.606980556640802
38,2.2617717713353493,2.7599683922154714,1.6276566397367431
39,2.286760415302095,2.863680033879201,1.6372264864672434
40,2.2789411382363216,2.9360874840221403,1.6678626819423388
41,2.3077057224961557,3.039697440926561,1.6934549406088928
42,2.3365678002600867,3.1179663732155514,1.7343960948002046
43,2.3913177966752834,3.1726578874120475,1.7564831626531971
44,2.465398902795754,3.1988739675023554,1.7875151560175657
45,2.5437303354793586,3.2647544837668945,1.8094121970648736
46,2.620358984839667,3.3334856908046726,1.8400793568049534
47,2.7000786513368737,3.3754706695913894,1.9356677284857948
48,2.7784944903393907,3.455852390729068,2.021547582769229
49,2.756707766598434,3.5358715298406738,2.002547205345023
50,2.8841850532727813,3.6637256092366215,2.0741435063634794
51,2.889699964112493,3.700095569735959,2.087455371381954
52,2.9692773854623686,3.8065661284692904,2.134216679551222
53,3.069742615270375,3.8994697899342103,2.1728373172085957
54,3.148249249960877,3.955160515815796,2.1011381822638153
55,3.1606179808684183,3.9507920779581385,2.1007801904699646
56,3.2474857923681832,4.011311259367195,2.1996208668678356
57,3.3153049436616637,4.086996626772237,2.2121228407961553
58,3.3513644574436285,4.114904496116663,2.255584528762569
59,3.386584918221116,4.1622845671889355,2.284327951192823
60,3.407071244024915,4.233737347293516,2.3067499412101387
61,3.46098376089291,4.324664876627611,2.3551398776692816
62,3.501155043647324,4.384712294329027,2.438527634576151
63,3.5520478931528454,4.464219051748023,2.458755231358252
64,3.6081664443512125,4.5427310641765795,2.504814348335385
65,3.647364127456726,4.618948062985844,2.5473328756907394
66,3.6472225395840585,4.657398606066447,2.519534131981152
67,3.709581671126202,4.718648551754465,2.5764204918040203
68,3.776985621714683,4.821011204738198,2.633659135082751
69,3.8295974198611704,4.89084939243328,2.7023741452540015
70,3.9188407412032964,4.965297833231808,2.7663085434667867
71,4.004090953873514,4.97135599294643,2.7434687984474757
72,3.9862880306789323,5.0206539906468,2.6034008235344968
73,4.030350857935076,5.07477970325985,2.691541264486229
74,4.056068778980768,5.138289171830786,2.704902951729297
75,4.145099358494093,5.21727339832034,2.6675844971836167
76,4.233880419690666,5.306316153015773,2.8143275142320423
77,4.3112936048592,5.387065431828205,2.754205613592722
78,4.36946658622828,5.458098022486256,2.786179593140288
79,4.4060575912651725,5.498044772349168,2.754868366926771
80,4.378740913523333,5.60320394746951,2.8430665484054285
81,4.449688046849836,5.690163192153671,2.8752530061437698
82,4.495827964399017,5.77994601808809,2.883381376289402
83,4.513948050731656,5.829915472348675,2.9059123668841904
84,4.596077104475745,5.846868374708586,2.9490817930129074
85,4.707802416369543,5.923518405903456,3.056383399837303
86,4.77966565673796,6.041153358703248,3.0932977163132365
87,4.834444174586974,6.162246757950861,3.1736282209400777
88,4.863905560387274,6.208868565675019,3.279763218555667
89,4.807220241934812,6.2481004520071455,3.1692072509533666
90,4.902822820056643,6.40978998521747,3.171352438620307
91,4.958104489889746,6.5098447294076855,3.1731573831703432
92,4.993817376659334,6.553649874282751,3.209885293322191
93,5.052948231258727,6.59755321060209,3.307054209082472
94,5.09985137920576,6.656917695515915,3.3488510806233975
95,5.276002308006856,6.731483623949124,3.3098598510490973
96,5.265630724376167,6.806550454585379,3.305547166079422
97,5.327610434696752,6.8818438597810285,3.3320210081178523
98,5.352015061842973,6.887887497039246,3.3168224903313317
99,5.422378831845741,6.972585719466377,3.3947913226488695
100,5.492561804758267,7.077773347371472,3.4276182287544135
101,5.559278617977571,7.248101771139435,3.437314226660877
102,5.556410474570461,7.266448500819693,3.470290763636484
103,5.584950329272984,7.299626746081833,3.461955470603139
104,5.61460714329475,7.347197609619721,3.51581032403429
105,5.625356635133281,7.377196750053809,3.4914033530922475
106,5.619798078782327,7.3845971747311046,3.4874238525452537
107,5.510945926015257,7.4500032302131745,3.450019784357572
108,5.704715289135333,7.53317444647579,3.4889760537230097
109,5.6436981840202955,7.582091571513525,3.4670098215933134
110,5.904127213407371,7.65685307262642,3.474056492107518
111,5.951361101837896,7.709760650148884,3.493086097992939
112,5.9539160473343875,7.765584013755376,3.5966624260310613
113,6.080299739842118,7.862102401038196,3.8813624060091922
114,6.198018445087431,7.952579007920953,4.132976672968217
115,6.229552266093852,8.000806418954724,4.020473963934371
116,6.165756859647377,8.006325900415021,3.676642887184944
117,6.253039945047898,7.98884054782666,3.629156744844389
118,6.2922865445008425,8.031568404001252,3.6430859934993816
119,6.399797626359173,8.022370368817322,3.658410529791527
120,6.145688617060983,8.054276403007663,3.7272316616919703
121,6.212118805141838,8.09520918849457,3.7333501754313216
122,6.273899053109954,8.164249987707969,3.791120188365129
123,6.317721896231348,8.236752671838373,3.877874866934266
124,6.309209021477289,8.274600362363563,3.9016035024270654
125,6.301590375923099,8.335946597575417,4.0322569797795325
126,6.279176048720842,8.366930308331332,3.8692828009460154
127,6.342219895598433,8.388576786866215,3.92283453917017
128,6.433136411162036,8.444878908909363,3.9515181010777902
129,6.421462662396573,8.510884059778789,3.933998744908339
130,6.5530082143372175,8.591408162088596,3.9492282334722373
131,6.591661164300721,8.666072359399294,4.101605920860619
132,6.616264064471526,8.718543523397878,3.9856587598936333
133,6.499611436504139,8.699876875313485,3.924211100550097
134,6.547076076802855,8.801539841381842,3.9825063863086636
135,6.581718823920801,8.858638344283927,4.030899798915036
136,6.746714868997078,9.11740373412544,4.07108150076955
137,6.807610800811243,9.066169412454185,4.138296044299665
138,6.873142204063987,9.179895811961899,4.2089214096414045
139,6.861339414907444,9.283647350136787,4.249452450445987
140,6.87284783388131,9.320513564929815,4.2968987264339145
141,6.898799005827721,9.379026778527008,4.295263149374495
142,6.928656658133385,9.362681255621748,4.383600918089245
143,6.964601850054091,9.417491026665767,4.363716639909173
144,7.070579934808804,9.51090938181745,4.449265055823995
145,7.125566816697508,9.622919408631944,4.505481006605333
146,7.187767412746956,9.708316441898411,4.588516919593951
147,7.300139023014657,9.758600055698718,4.6523060232738365
148,7.38149434912834,9.798021977113683,4.700092382465123
149,7.430114624389133,9.954249212865882,4.746388840155266
150,7.514188498421965,10.085611591887895,4.784393072831487
151,7.559647525288403,10.065265182758905,4.820957661674289
152,7.5831296207253684,9.976504799406602,4.859203053278072
153,7.670423668753779,10.200342647564142,4.903046006926102
154,7.706756888902637,10.277437096045116,4.945194235459951
155,7.747927479620288,10.358453327649967,4.971923797321452
156,7.750034559163432,10.398712099407776,5.027156487394347
157,7.788391442490722,10.521407275853122,4.991173523754625
158,7.807580333626137,10.618032100380663,4.96677126699318
159,7.951647998969481,10.695080579747263,5.049760617793842
160,7.8930764336336345,10.748951105025306,5.03433378099158
161,7.880637452589733,10.794852156400209,5.08545452260321
162,7.832778354111271,10.872086278648585,5.020542013830004
163,7.900752274310538,10.91263230142412,5.0118921051355
164,7.935593205114319,10.947069092395047,5.062995348283928
165,7.943234215628793,10.977612515817075,5.093591558851359
166,7.862047982617661,11.054003172308455,4.982771280013269
167,7.906746109405932,11.141777278212594,4.947968068257691
168,7.955454871345961,11.270089190925058,4.9526565587495535
169,8.05450883117812,11.271222155877755,4.950333332083526
170,8.154032010762485,11.329074387668207,4.949273357606229
171,8.110196255398572,11.367116389980893,4.938672141944004
172,8.094550307434897,11.418004027177464,4.857496263190686
173,8.086589440970094,11.396035602250965,4.855513196751651
174,8.184818845464182,11.466440084215181,4.902545940026883
175,8.201441179216781,11.532116869239356,4.705294633081576
176,8.285636120503474,11.616570573261566,4.685529336057419
177,8.295881042411768,11.663709410425902,4.61211018859998
178,8.356987042318382,11.731376215753642,4.645658279732571
179,8.42435196043084,11.739221173057985,4.703272834755031
180,8.434936754485117,11.731598880198806,4.591171997541129
181,8.550462735889393,11.832187693590665,4.565139073112103
182,8.624276791493376,11.904572436650657,4.571456932902813
183,8.665734024923632,11.989232794231906,4.590746392181515
184,8.56785083685665,11.933909325117572,4.502556734118706
185,8.499730201630687,11.982626932407491,4.48234000074815
186,8.59117903457486,12.118172535640184,4.487095905901489
187,8.759800140359086,12.372956711048289,4.569419589024491
188,8.773454501953752,12.442069757933922,4.640829663199874
189,8.805231681850488,12.47169918579115,4.468051688849926
190,8.773610396026807,12.274698794925044,4.508410921831572
191,8.803542705686237,12.317295512905549,4.563759399025335
192,8.810489989882024,12.30501407414052,4.586422640761865
193,8.821651545597136,12.299632506772678,4.519174360995106
194,8.787693799709848,12.298743775436588,4.566066194530633
195,8.683868462621067,12.262743000259727,4.173756867870011
196,8.803401854322171,12.354378454422015,4.373929774649481
197,8.810344872718483,12.406640997778041,4.163926799751597
198,8.898192825619702,12.455235884354682,4.292242970796874
199,8.959170371571162,12.524401725296539,4.338315663143288
200,8.967061656804727,12.500066849982526,4.368222730268936
201,9.082517044509412,12.592638748469017,4.4866377167282625
202,9.169251696199382,12.73035703807631,4.462501834156711
203,9.211473435151685,12.871819355945757,4.486597689187715
204,9.252272820754547,13.008954495043326,4.4802341953081894
205,9.289238612667408,13.050698756511864,4.467859355002369
206,9.305576330668798,13.09705287022518,4.512242730498059
207,9.408973595282998,13.284696551440224,4.58069659634893
208,9.461143647318046,13.349861399888493,4.672520539291038
209,9.547382532408367,13.414495243701904,4.722259591365354
210,9.590744462752125,13.438936212146492,4.739936411835991
211,9.608708045108411,13.464205970440624,4.782905516142251
212,9.541606327597849,13.497891617826857,4.812916694547553
213,9.589577531521776,13.556404353866894,4.845348078430751
214,9.56594450386876,13.614589506140602,4.87853699881348
215,9.550535651336661,13.661599007631498,4.889612006996916
216,9.622941409336503,13.646704384485659,4.883145809008675
217,9.691125561671553,13.681842282705867,4.901921750308067
218,9.75408024344065,13.708317792867266,4.896462762532734
219,9.958400132467805,13.821373813081214,4.952270991513363
220,10.010268694608339,13.829034672572053,4.988474099724171
221,10.030483456889147,13.847750783891625,5.055566963865115
222,10.05631322653998,13.921157848498664,5.129513220230651
223,9.975143342251044,13.937200658512937,5.048793837019172
224,9.934151713233014,13.954982538054933,4.910706145113697
225,10.148854883325306,14.134658976680885,4.859428889249603
226,10.211370983337607,14.214946511598942,4.910555028281864
227,9.972278514317274,14.18934106893672,4.949371844189963
228,10.021866686813016,14.25637943756028,5.002074003116671
229,10.080384859095735,14.335410984631544,5.032064368595447
230,10.0997388725813,14.2807335309353,5.050547764414765
231,10.157483612989413,14.335990753395052,5.0731739748566165
232,10.173779544843992,14.451877709019273,5.092902228407484
233,10.168867529580748,14.53691513191988,5.131775066237076
234,10.22003314903646,14.645693778667074,5.183602210743761
235,10.292606419252785,14.728384044791266,5.235126538109372
236,10.341897230284678,14.779838859903212,5.239869084538508
237,10.407307296101283,14.885416000255843,5.300979108073792
238,10.556557711726636,15.015182477036667,5.38032852360055
239,10.60801665733931,15.136463074734856,5.4289728534721995
