AgentID,pause_dur
Larva_1,0.25
Larva_1,0.125
Larva_1,0.3125
Larva_1,0.25
Larva_1,0.25
Larva_1,1.125
Larva_1,0.6875
Larva_1,0.125
Larva_1,0.125
Larva_1,0.875
Larva_1,0.125
Larva_10,0.4375
Larva_10,0.625
Larva_10,0.25
Larva_10,0.5
Larva_10,0.5
Larva_10,0.8125
Larva_10,0.875
Larva_10,0.625
Larva_10,0.1875
Larva_10,0.1875
Larva_10,0.25
Larva_10,1.5625
Larva_10,0.875
Larva_10,0.125
Larva_10,0.1875
Larva_10,0.125
Larva_10,0.625
Larva_10,0.4375
Larva_10,0.125
Larva_10,0.3125
Larva_100,0.125
Larva_100,0.1875
Larva_100,0.1875
Larva_100,0.25
Larva_100,0.125
Larva_100,0.4375
Larva_100,0.1875
Larva_100,0.3125
Larva_100,0.1875
Larva_100,0.125
Larva_100,0.1875
Larva_100,0.1875
Larva_100,0.875
Larva_100,0.125
Larva_100,0.4375
Larva_100,0.1875
Larva_100,0.125
Larva_100,0.3125
Larva_100,0.125
Larva_100,0.3125
Larva_101,0.1875
Larva_101,0.6875
Larva_101,0.5
Larva_101,0.375
Larva_101,0.125
Larva_101,0.4375
Larva_101,0.125
Larva_101,1.0
Larva_101,0.4375
Larva_101,0.3125
Larva_102,0.1875
Larva_102,0.9375
Larva_102,0.375
Larva_102,0.125
Larva_102,0.125
Larva_102,0.3125
Larva_102,0.125
Larva_102,0.1875
Larva_102,0.25
Larva_102,0.1875
Larva_102,0.125
Larva_102,0.1875
Larva_102,0.125
Larva_102,0.125
Larva_102,0.125
Larva_102,0.125
Larva_102,0.1875
Larva_102,0.1875
Larva_102,0.125
Larva_102,0.6875
Larva_104,0.125
Larva_104,0.125
Larva_104,0.125
Larva_104,0.125
Larva_104,1.125
Larva_104,0.25
Larva_106,1.4375
Larva_106,1.25
Larva_106,0.3125
Larva_106,0.1875
Larva_106,0.125
Larva_106,0.5625
Larva_106,1.25
Larva_106,0.6875
Larva_106,0.3125
Larva_106,0.3125
Larva_106,0.3125
Larva_106,1.0625
Larva_106,0.8125
Larva_106,0.1875
Larva_106,0.125
Larva_106,0.125
Larva_106,0.25
Larva_106,0.3125
Larva_106,0.25
Larva_106,0.125
Larva_106,1.0625
