AgentID,stridechain_dur
Larva_1,7.0
Larva_1,0.5625
Larva_1,13.4375
Larva_1,5.3125
Larva_1,32.6875
Larva_1,0.5625
Larva_1,3.3125
Larva_1,4.875
Larva_1,3.25
Larva_1,5.1875
Larva_1,20.375
Larva_1,51.875
Larva_10,4.8125
Larva_10,3.875
Larva_10,2.3125
Larva_10,0.6875
Larva_10,31.5
Larva_10,8.0
Larva_10,2.6875
Larva_10,1.375
Larva_10,5.5
Larva_10,12.625
Larva_10,0.6875
Larva_10,42.625
Larva_10,12.375
Larva_10,1.3125
Larva_10,6.75
Larva_10,9.875
Larva_10,6.625
Larva_100,4.0
Larva_100,4.25
Larva_100,9.0625
Larva_100,3.8125
Larva_100,18.5625
Larva_100,9.25
Larva_100,10.8125
Larva_100,2.1875
Larva_100,8.625
Larva_100,6.0
Larva_100,19.5625
Larva_100,1.375
Larva_100,1.5625
Larva_100,41.75
Larva_101,11.125
Larva_101,1.5625
Larva_101,8.375
Larva_101,14.4375
Larva_101,13.4375
Larva_101,34.9375
Larva_101,33.0625
Larva_101,4.5625
Larva_101,30.5625
Larva_101,0.8125
Larva_102,1.75
Larva_102,3.75
Larva_102,2.375
Larva_102,1.5625
Larva_102,2.375
Larva_102,1.9375
Larva_102,4.8125
Larva_102,3.5
Larva_102,2.0625
Larva_102,35.875
Larva_102,1.3125
Larva_102,20.25
Larva_102,0.625
Larva_102,3.125
Larva_102,2.75
Larva_102,0.75
Larva_102,11.5625
Larva_102,4.6875
Larva_102,4.4375
Larva_102,9.875
Larva_102,2.0625
Larva_102,22.75
Larva_104,24.0
Larva_104,6.0625
Larva_104,6.0
Larva_104,5.375
Larva_104,19.625
Larva_104,7.3125
Larva_104,92.0
Larva_104,0.6875
Larva_106,6.0625
Larva_106,3.9375
Larva_106,7.3125
Larva_106,4.3125
Larva_106,1.1875
Larva_106,4.3125
Larva_106,0.625
Larva_106,8.3125
Larva_106,5.5
Larva_106,1.25
Larva_106,2.0625
Larva_106,28.0
Larva_106,0.625
Larva_106,1.9375
Larva_106,11.375
Larva_106,26.875
Larva_106,3.1875
Larva_106,1.3125
Larva_106,0.625
Larva_106,3.0625
Larva_106,9.0625
Larva_106,2.125
Larva_107,3.0
Larva_107,4.875
Larva_107,16.8125
Larva_107,11.0
Larva_107,41.8125
Larva_107,14.625
Larva_107,7.6875
Larva_107,2.6875
Larva_107,1.25
Larva_107,5.25
Larva_107,3.125
Larva_107,3.25
Larva_107,0.75
Larva_107,0.875
Larva_107,0.5
Larva_107,0.75
Larva_107,1.5
Larva_107,3.1875
Larva_107,4.5625
Larva_107,3.3125
Larva_107,2.75
Larva_107,1.9375
Larva_107,15.9375
Larva_107,2.25
Larva_108,29.0625
Larva_108,6.375
Larva_108,8.0625
Larva_108,3.5
Larva_108,1.4375
Larva_108,39.5625
Larva_108,15.5625
Larva_108,18.25
Larva_108,9.375
Larva_108,2.0625
Larva_108,21.375
Larva_109,0.5625
Larva_109,9.5
Larva_109,0.625
Larva_109,33.8125
Larva_109,11.9375
Larva_109,0.5625
Larva_109,0.5
Larva_109,3.6875
Larva_109,3.5
Larva_109,0.6875
Larva_109,10.125
Larva_109,0.625
Larva_109,6.75
Larva_109,0.4375
Larva_109,0.75
Larva_109,6.6875
Larva_109,2.4375
Larva_109,1.5
Larva_109,2.9375
Larva_109,11.25
Larva_109,18.5
Larva_109,0.75
Larva_109,3.8125
Larva_109,6.8125
Larva_110,19.3125
Larva_110,3.3125
Larva_110,17.9375
Larva_110,2.9375
Larva_110,8.0625
Larva_110,3.4375
Larva_110,6.125
Larva_110,16.5
Larva_110,2.1875
Larva_110,2.5
Larva_110,1.125
Larva_110,0.625
Larva_110,4.25
Larva_110,4.375
Larva_110,3.5625
Larva_110,1.375
Larva_110,12.1875
Larva_110,0.8125
Larva_110,5.125
Larva_110,1.375
Larva_110,0.5
Larva_110,35.375
Larva_111,36.0
Larva_111,22.375
Larva_111,68.4375
Larva_111,23.5625
Larva_111,12.875
Larva_111,5.875
Larva_111,1.875
Larva_112,1.4375
Larva_112,9.5
Larva_112,0.6875
Larva_112,0.4375
Larva_112,22.8125
Larva_112,1.8125
Larva_112,5.6875
Larva_112,37.625
Larva_112,0.5625
Larva_112,14.9375
Larva_112,6.375
Larva_112,21.0
Larva_112,4.0625
Larva_112,1.4375
Larva_112,15.3125
Larva_112,1.6875
Larva_112,2.125
Larva_112,6.8125
Larva_114,2.5625
Larva_114,9.1875
Larva_114,3.375
Larva_114,2.625
Larva_114,7.3125
Larva_114,6.8125
Larva_114,8.8125
Larva_114,1.625
Larva_114,2.625
Larva_114,2.875
Larva_114,4.875
Larva_114,9.625
Larva_114,3.5
Larva_114,3.125
Larva_114,3.5625
Larva_114,17.875
Larva_114,4.75
Larva_114,6.1875
Larva_114,1.1875
Larva_114,0.9375
Larva_114,8.0
Larva_114,5.6875
Larva_114,2.5625
Larva_114,1.4375
Larva_114,2.0625
Larva_114,0.5625
Larva_115,6.5
Larva_115,2.875
Larva_115,2.0625
Larva_115,3.75
Larva_115,2.0625
Larva_115,3.0625
Larva_115,28.4375
Larva_115,5.5625
Larva_115,5.4375
Larva_115,5.9375
Larva_115,0.625
Larva_115,0.4375
Larva_115,9.875
Larva_115,3.875
Larva_115,1.4375
Larva_115,0.75
Larva_115,1.875
Larva_115,2.875
Larva_115,0.8125
Larva_115,4.75
Larva_115,5.875
Larva_115,0.75
Larva_115,0.5
Larva_115,0.75
Larva_115,6.625
Larva_115,5.6875
Larva_115,3.1875
Larva_115,4.375
Larva_115,1.1875
Larva_115,6.875
Larva_115,1.3125
Larva_115,2.875
Larva_115,0.625
Larva_116,7.5625
Larva_116,2.875
Larva_116,1.4375
Larva_116,4.1875
Larva_116,3.4375
Larva_116,3.75
Larva_116,8.0625
Larva_116,8.375
