AgentID,stridechain_length
Larva_1,14.0
Larva_1,1.0
Larva_1,25.0
Larva_1,10.0
Larva_1,53.0
Larva_1,1.0
Larva_1,6.0
Larva_1,10.0
Larva_1,5.0
Larva_1,10.0
Larva_1,32.0
Larva_1,87.0
Larva_10,8.0
Larva_10,6.0
Larva_10,4.0
Larva_10,1.0
Larva_10,47.0
Larva_10,13.0
Larva_10,4.0
Larva_10,2.0
Larva_10,9.0
Larva_10,16.0
Larva_10,1.0
Larva_10,68.0
Larva_10,19.0
Larva_10,2.0
Larva_10,10.0
Larva_10,15.0
Larva_10,10.0
Larva_100,6.0
Larva_100,7.0
Larva_100,15.0
Larva_100,5.0
Larva_100,28.0
Larva_100,14.0
Larva_100,17.0
Larva_100,3.0
Larva_100,12.0
Larva_100,9.0
Larva_100,30.0
Larva_100,2.0
Larva_100,2.0
Larva_100,58.0
Larva_101,14.0
Larva_101,2.0
Larva_101,11.0
Larva_101,20.0
Larva_101,19.0
Larva_101,48.0
Larva_101,44.0
Larva_101,6.0
Larva_101,42.0
Larva_101,1.0
Larva_102,3.0
Larva_102,5.0
Larva_102,3.0
Larva_102,2.0
Larva_102,4.0
Larva_102,3.0
Larva_102,8.0
Larva_102,5.0
Larva_102,3.0
Larva_102,54.0
Larva_102,2.0
Larva_102,29.0
Larva_102,1.0
Larva_102,4.0
Larva_102,4.0
Larva_102,1.0
Larva_102,17.0
Larva_102,7.0
Larva_102,6.0
Larva_102,15.0
Larva_102,3.0
Larva_102,31.0
Larva_104,39.0
Larva_104,8.0
Larva_104,9.0
Larva_104,9.0
Larva_104,29.0
Larva_104,11.0
Larva_104,137.0
Larva_104,1.0
Larva_106,10.0
Larva_106,6.0
Larva_106,11.0
Larva_106,7.0
Larva_106,2.0
Larva_106,7.0
Larva_106,1.0
Larva_106,12.0
Larva_106,8.0
Larva_106,2.0
Larva_106,3.0
Larva_106,43.0
Larva_106,1.0
Larva_106,3.0
Larva_106,17.0
Larva_106,40.0
Larva_106,5.0
Larva_106,2.0
Larva_106,1.0
Larva_106,5.0
Larva_106,15.0
Larva_106,3.0
Larva_107,4.0
Larva_107,7.0
Larva_107,25.0
Larva_107,16.0
Larva_107,63.0
Larva_107,21.0
Larva_107,12.0
Larva_107,4.0
Larva_107,2.0
Larva_107,8.0
Larva_107,4.0
Larva_107,5.0
Larva_107,1.0
Larva_107,1.0
Larva_107,1.0
Larva_107,1.0
Larva_107,2.0
Larva_107,5.0
Larva_107,7.0
Larva_107,6.0
Larva_107,4.0
Larva_107,3.0
Larva_107,24.0
Larva_107,3.0
Larva_108,39.0
Larva_108,9.0
