,symbol,unit,codename,interpretation
0,${x}_{0}$,m,x0,initial x coordinate
1,${y}_{0}$,m,y0,initial y coordinate
2,$dt$,s,dt,timestep
3,$l$,m,l,length
4,L,m,L,structural length
5,${L}_{w}$,m,Lw,physical length
6,V,m³,V,structural volume
7,${W}_{w}$,kg,Ww,wet weight
8,a,s,age,age
9,H,,H,hunger drive
10,E,J,E,reserve energy
11,${E}_{H}$,J,E_H,maturity energy
12,${E}_{R}$,J,E_R,reproduction buffer
13,${p}_{A}^{deb}$,J,deb_p_A,assimilation energy (model)
14,${p}_{A}^{sim}$,J,sim_p_A,assimilation energy (sim)
15,${p}_{A}^{gut}$,J,gut_p_A,assimilation energy (gut)
16,e,,e,scaled reserve density
17,f,,f,scaled functional response
18,${f}_{0}$,,f0,base scaled functional response
19,$[{\dot{F}}]$,Hz,[F],volume specific filtering rate
20,${\dot{fr}}_{feed}$,Hz,fr_f,feed motion frequency (estimate)
21,${r}_{pup}$,,pupation,pupation ratio
22,$\Delta{a}$,s,D_age,age change
23,$\Delta{f}$,,D_f,scaled functional response change
24,$\dot{f}$,s⁻¹,d_f,scaled functional response rate
25,$\Delta{e}$,,D_e,scaled reserve density change
26,$\dot{e}$,s⁻¹,d_e,scaled reserve density rate
27,$\Delta{H}$,,D_H,hunger drive change
28,$\dot{H}$,s⁻¹,d_H,hunger drive rate
29,[E],kg·m⁻¹·s⁻²,[E],volume specific reserve energy
30,[${W}_{w}$],kg·m⁻³,[Ww],volume specific wet weight
31,[${E}_{R}$],kg·m⁻¹·s⁻²,[E_R],volume specific reproduction buffer
32,[${E}_{H}$],kg·m⁻¹·s⁻²,[E_H],volume specific maturity energy
33,${V}_{in}$,m³,f_am_V,ingested_food_volume
34,${[V]}_{in}^{gut}$,,sf_am_Vg,ingested_gut_volume_ratio
35,${[V]}_{in}$,,sf_am_V,ingested_body_volume_ratio
36,${{V}}_{in}$,,sf_am_A,ingested_body_area_ratio
37,${[M]}_{in}$,,sf_am_M,ingested_body_mass_ratio
38,${[M]}_{abs}$,,sf_abs_M,food_absorption_efficiency
39,${[M]}_{faeces}$,,sf_faeces_M,faeces_ratio
40,${M}_{abs}$,,f_abs_M,amount_absorbed
41,${M}_{faeces}$,,f_faeces_M,amount_faeces
42,${t}_{cum}$,s,cum_t,cum_dur
43,d,m,d,dst
44,d,m,std,straight_dst
45,$d^{\circledast}$,m,dsp,dispersion
46,$d^{\odot}$,m,d_cent,dst_to_center
47,$d^{\circledcirc}$,m,d_chem,dst_to_source
48,x,m,x,x
49,y,m,y,y
50,$\Delta{x}$,m,D_x,x change
51,$\Delta{y}$,m,D_y,y change
52,$({d})$,,sd,scaled_dst
53,$({\Delta{x}})$,,sD_x,scaled_x change
54,$({\Delta{y}})$,,sD_y,scaled_y change
55,$({d^{\circledcirc}})$,,sd_chem,scaled_dst_to_source
56,$({d^{\odot}})$,,sd_cent,scaled_dst_to_center
57,$({d^{\circledast}})$,,sdsp,scaled_dispersion
58,$({d})$,,sstd,scaled_straight_dst
59,${d}_{cum}$,m,cum_d,cum_dst
60,$\bar{d}$,m,d_mu,dst_mean
61,$\~{d}$,m,d_std,dst_std
62,${d}_{min}$,m,d_min,dst_min
63,${d}_{max}$,m,d_max,dst_max
64,${d}_{fin}$,m,d_fin,final_dst
65,${({d})}_{cum}$,,cum_sd,cum_scaled_dst
66,$\bar{({d})}$,,sd_mu,scaled_dst_mean
67,$\~{({d})}$,,sd_std,scaled_dst_std
68,${({d})}_{min}$,,sd_min,scaled_dst_min
69,${({d})}_{max}$,,sd_max,scaled_dst_max
70,${({d})}_{fin}$,,sd_fin,final_scaled_dst
71,${\Delta{x}}_{cum}$,m,cum_D_x,cum_x change
72,$\bar{\Delta{x}}$,m,D_x_mu,x change_mean
73,$\~{\Delta{x}}$,m,D_x_std,x change_std
74,${\Delta{x}}_{min}$,m,D_x_min,x change_min
75,${\Delta{x}}_{max}$,m,D_x_max,x change_max
76,${\Delta{x}}_{fin}$,m,D_x_fin,final_x change
77,${({\Delta{x}})}_{cum}$,,cum_sD_x,cum_scaled_x change
78,$\bar{({\Delta{x}})}$,,sD_x_mu,scaled_x change_mean
79,$\~{({\Delta{x}})}$,,sD_x_std,scaled_x change_std
80,${({\Delta{x}})}_{min}$,,sD_x_min,scaled_x change_min
81,${({\Delta{x}})}_{max}$,,sD_x_max,scaled_x change_max
82,${({\Delta{x}})}_{fin}$,,sD_x_fin,final_scaled_x change
83,${\Delta{y}}_{cum}$,m,cum_D_y,cum_y change
84,$\bar{\Delta{y}}$,m,D_y_mu,y change_mean
85,$\~{\Delta{y}}$,m,D_y_std,y change_std
86,${\Delta{y}}_{min}$,m,D_y_min,y change_min
87,${\Delta{y}}_{max}$,m,D_y_max,y change_max
88,${\Delta{y}}_{fin}$,m,D_y_fin,final_y change
89,${({\Delta{y}})}_{cum}$,,cum_sD_y,cum_scaled_y change
90,$\bar{({\Delta{y}})}$,,sD_y_mu,scaled_y change_mean
91,$\~{({\Delta{y}})}$,,sD_y_std,scaled_y change_std
92,${({\Delta{y}})}_{min}$,,sD_y_min,scaled_y change_min
93,${({\Delta{y}})}_{max}$,,sD_y_max,scaled_y change_max
94,${({\Delta{y}})}_{fin}$,,sD_y_fin,final_scaled_y change
95,${d^{\circledcirc}}_{cum}$,m,cum_d_chem,cum_dst_to_source
96,$\bar{d^{\circledcirc}}$,m,d_chem_mu,dst_to_source_mean
97,$\~{d^{\circledcirc}}$,m,d_chem_std,dst_to_source_std
98,${d^{\circledcirc}}_{min}$,m,d_chem_min,dst_to_source_min
99,${d^{\circledcirc}}_{max}$,m,d_chem_max,dst_to_source_max
100,${d^{\circledcirc}}_{fin}$,m,d_chem_fin,final_dst_to_source
101,${({d^{\circledcirc}})}_{cum}$,,cum_sd_chem,cum_scaled_dst_to_source
102,$\bar{({d^{\circledcirc}})}$,,sd_chem_mu,scaled_dst_to_source_mean
103,$\~{({d^{\circledcirc}})}$,,sd_chem_std,scaled_dst_to_source_std
104,${({d^{\circledcirc}})}_{min}$,,sd_chem_min,scaled_dst_to_source_min
105,${({d^{\circledcirc}})}_{max}$,,sd_chem_max,scaled_dst_to_source_max
106,${({d^{\circledcirc}})}_{fin}$,,sd_chem_fin,final_scaled_dst_to_source
107,${d^{\odot}}_{cum}$,m,cum_d_cent,cum_dst_to_center
108,$\bar{d^{\odot}}$,m,d_cent_mu,dst_to_center_mean
109,$\~{d^{\odot}}$,m,d_cent_std,dst_to_center_std
110,${d^{\odot}}_{min}$,m,d_cent_min,dst_to_center_min
111,${d^{\odot}}_{max}$,m,d_cent_max,dst_to_center_max
112,${d^{\odot}}_{fin}$,m,d_cent_fin,final_dst_to_center
113,${({d^{\odot}})}_{cum}$,,cum_sd_cent,cum_scaled_dst_to_center
114,$\bar{({d^{\odot}})}$,,sd_cent_mu,scaled_dst_to_center_mean
115,$\~{({d^{\odot}})}$,,sd_cent_std,scaled_dst_to_center_std
