,p,u,k,s,o,lim,d,l,exists,func,const,fraction,operator,k0,k_num,k_den,dst2source,or2source,dispersion,wrap_mode
x0,x0,1m,x0,${x}_{0}$,<class 'lib.model.agents._agent.Larva'>,,x0,"x0,  ${x}_{0}$$(m)$",True,,,False,,,,,,,False,
y0,y0,1m,y0,${y}_{0}$,<class 'lib.model.agents._agent.Larva'>,,y0,"y0,  ${y}_{0}$$(m)$",True,,,False,,,,,,,False,
dt,dt,1s,dt,dt,<class 'lib.model.agents._agent.Larva'>,,dt,"dt,  dt$(s)$",True,,,False,,,,,,,False,
l,real_length,1m,l,l,<class 'lib.model.agents._agent.Larva'>,,length,"length,  l$(m)$",True,,,False,,,,,,,False,
L,L,0.01m,L,L,<class 'lib.model.DEB.deb.DEB'>,,structural length,"structural length,  L$(m)$",True,,,False,,,,,,,False,
Lw,Lw,0.01m,Lw,${L}_{w}$,<class 'lib.model.DEB.deb.DEB'>,,physical length,"physical length,  ${L}_{w}$$(m)$",True,,,False,,,,,,,False,
V,V,1.0000000000000002e-06m³,V,V,<class 'lib.model.DEB.deb.DEB'>,,structural volume,"structural volume,  V$(m³)$",True,,,False,,,,,,,False,
Ww,Ww,0.001kg,Ww,${W}_{w}$,<class 'lib.model.DEB.deb.DEB'>,,wet weight,"wet weight,  ${W}_{w}$$(kg)$",True,,,False,,,,,,,False,
age,age,86400s,age,age,<class 'lib.model.DEB.deb.DEB'>,,age,"age,  age$(s)$",True,,,False,,,,,,,False,
H,hunger,1,H,H,<class 'lib.model.DEB.deb.DEB'>,,hunger drive,"hunger drive,  H$()$",True,,,False,,,,,,,False,
E,E,1J,E,E,<class 'lib.model.DEB.deb.DEB'>,,reserve energy,"reserve energy,  E$(J)$",True,,,False,,,,,,,False,
E_H,E_H,1J,E_H,${E}_{H}$,<class 'lib.model.DEB.deb.DEB'>,,maturity energy,"maturity energy,  ${E}_{H}$$(J)$",True,,,False,,,,,,,False,
E_R,E_R,1J,E_R,${E}_{R}$,<class 'lib.model.DEB.deb.DEB'>,,reproduction buffer,"reproduction buffer,  ${E}_{R}$$(J)$",True,,,False,,,,,,,False,
deb_p_A,deb_p_A,1J,deb_p_A,${p}_{A}^{deb}$,<class 'lib.model.DEB.deb.DEB'>,,assimilation energy (model),"assimilation energy (model),  ${p}_{A}^{deb}$$(J)$",True,,,False,,,,,,,False,
sim_p_A,sim_p_A,1J,sim_p_A,${p}_{A}^{sim}$,<class 'lib.model.DEB.deb.DEB'>,,assimilation energy (sim),"assimilation energy (sim),  ${p}_{A}^{sim}$$(J)$",True,,,False,,,,,,,False,
gut_p_A,gut_p_A,1J,gut_p_A,${p}_{A}^{gut}$,<class 'lib.model.DEB.deb.DEB'>,,assimilation energy (gut),"assimilation energy (gut),  ${p}_{A}^{gut}$$(J)$",True,,,False,,,,,,,False,
e,e,1,e,e,<class 'lib.model.DEB.deb.DEB'>,,scaled reserve density,"scaled reserve density,  e$()$",True,,,False,,,,,,,False,
f,f,1,f,f,<class 'lib.model.DEB.deb.DEB'>,,scaled functional response,"scaled functional response,  f$()$",True,,,False,,,,,,,False,
f0,base_f,1,f0,${f}_{0}$,<class 'lib.model.DEB.deb.DEB'>,,base scaled functional response,"base scaled functional response,  ${f}_{0}$$()$",True,,,False,,,,,,,False,
[F],F,1.1574074074074073e-05Hz,[F],$\dot{[F]}$,<class 'lib.model.DEB.deb.DEB'>,,volume specific filtering rate,"volume specific filtering rate,  $\dot{[F]}$$(Hz)$",True,,,False,,,,,,,False,
fr_f,fr_feed,1Hz,fr_f,${\dot{fr}}_{feed}$,<class 'lib.model.DEB.deb.DEB'>,,feed motion frequency (estimate),"feed motion frequency (estimate),  ${\dot{fr}}_{feed}$$(Hz)$",True,,,False,,,,,,,False,
pupation,pupation_buffer,1,pupation,${r}_{pupation}$,<class 'lib.model.DEB.deb.DEB'>,,pupation ratio,"pupation ratio,  ${r}_{pupation}$$()$",True,,,False,,,,,,,False,
D_age,D_age,86400s,D_age,$\Delta{age}$,,,age change,"age change,  $\Delta{age}$$(s)$",False,,,False,diff,age,,,,,False,
D_f,D_f,1,D_f,$\Delta{f}$,,,scaled functional response change,"scaled functional response change,  $\Delta{f}$$()$",False,,,False,diff,f,,,,,False,
d_f,d_f,1.1574074074074073e-05s⁻¹,d_f,$\dot{f}$,,,scaled functional response rate,"scaled functional response rate,  $\dot{f}$$(s⁻¹)$",False,,,True,,,D_f,D_age,,,False,
D_e,D_e,1,D_e,$\Delta{e}$,,,scaled reserve density change,"scaled reserve density change,  $\Delta{e}$$()$",False,,,False,diff,e,,,,,False,
d_e,d_e,1.1574074074074073e-05s⁻¹,d_e,$\dot{e}$,,,scaled reserve density rate,"scaled reserve density rate,  $\dot{e}$$(s⁻¹)$",False,,,True,,,D_e,D_age,,,False,
D_H,D_hunger,1,D_H,$\Delta{H}$,,,hunger drive change,"hunger drive change,  $\Delta{H}$$()$",False,,,False,diff,H,,,,,False,
d_H,d_H,1.1574074074074073e-05s⁻¹,d_H,$\dot{H}$,,,hunger drive rate,"hunger drive rate,  $\dot{H}$$(s⁻¹)$",False,,,True,,,D_H,D_age,,,False,
[E],[E],999999.9999999999kg·m⁻¹·s⁻²,[E],[E],,,volume specific reserve energy,"volume specific reserve energy,  [E]$(kg·m⁻¹·s⁻²)$",False,,,True,,,E,V,,,False,
[Ww],[Ww],999.9999999999999kg·m⁻³,[Ww],[${W}_{w}$],,,volume specific wet weight,"volume specific wet weight,  [${W}_{w}$]$(kg·m⁻³)$",False,,,True,,,Ww,V,,,False,
[E_R],[E_R],999999.9999999999kg·m⁻¹·s⁻²,[E_R],[${E}_{R}$],,,volume specific reproduction buffer,"volume specific reproduction buffer,  [${E}_{R}$]$(kg·m⁻¹·s⁻²)$",False,,,True,,,E_R,V,,,False,
[E_H],[E_H],999999.9999999999kg·m⁻¹·s⁻²,[E_H],[${E}_{H}$],,,volume specific maturity energy,"volume specific maturity energy,  [${E}_{H}$]$(kg·m⁻¹·s⁻²)$",False,,,True,,,E_H,V,,,False,
d,dst,1m,d,d,<class 'lib.model.agents._agent.Larva'>,,dst,"dst,  d$(m)$",True,,,False,,,,,,,False,
dsp,dispersion,1m,dsp,dsp,<class 'lib.model.agents._agent.Larva'>,,dispersion,"dispersion,  dsp$(m)$",False,,,False,,,,,,,True,
o_cent,bearing_to_center,1deg,o_cent,${\theta_{or}}^{cen}$,<class 'lib.model.agents._agent.Larva'>,"(-180.0, 180.0)",bearing_to_center,"bearing_to_center,  ${\theta_{or}}^{cen}$$(deg)$",False,,,False,,,,,,"(0, 0)",False,zero
o_chem,bearing_to_source,1deg,o_chem,${\theta_{or}}^{source}$,<class 'lib.model.agents._agent.Larva'>,"(-180.0, 180.0)",bearing_to_source,"bearing_to_source,  ${\theta_{or}}^{source}$$(deg)$",False,,,False,,,,,,"(0.04, 0.0)",False,zero
d_cent,dst_to_center,1m,d_cent,${d}_{cen}$,<class 'lib.model.agents._agent.Larva'>,,dst_to_center,"dst_to_center,  ${d}_{cen}$$(m)$",False,,,False,,,,,"(0, 0)",,False,
d_chem,dst_to_source,1m,d_chem,${d}_{source}$,<class 'lib.model.agents._agent.Larva'>,,dst_to_source,"dst_to_source,  ${d}_{source}$$(m)$",False,,,False,,,,,"(0.04, 0.0)",,False,
x,x,1m,x,x,<class 'lib.model.agents._agent.Larva'>,,x,"x,  x$(m)$",True,,,False,,,,,,,False,
y,y,1m,y,y,<class 'lib.model.agents._agent.Larva'>,,y,"y,  y$(m)$",True,,,False,,,,,,,False,
b,bend,1deg,b,$\theta_{b}$,<class 'lib.model.agents._agent.Larva'>,"(-180.0, 180.0)",bend,"bend,  $\theta_{b}$$(deg)$",True,,,False,,,,,,,False,zero
fo,front_orientation,1deg,fo,${\theta_{or}}_{f}$,<class 'lib.model.agents._agent.Larva'>,"(0.0, 360.0)",front_orientation,"front_orientation,  ${\theta_{or}}_{f}$$(deg)$",True,,,False,,,,,,,False,positive
ro,rear_orientation,1deg,ro,${\theta_{or}}_{r}$,<class 'lib.model.agents._agent.Larva'>,"(0.0, 360.0)",rear_orientation,"rear_orientation,  ${\theta_{or}}_{r}$$(deg)$",True,,,False,,,,,,,False,positive
fou,front_orientation_unwrapped,1deg,fou,${\theta_{or}}_{f}$,<class 'lib.model.agents._agent.Larva'>,,front_orientation_unwrapped,"front_orientation_unwrapped,  ${\theta_{or}}_{f}$$(deg)$",True,,,False,,,,,,,False,
